item_id,he_name,en_name,category
121,"אגוזים, שקדים וכו'","Nuts, almonds, etc.",5
122,"חטיפי גרנולה","Granola bars",5
123,כוסות,Cups,5
124,מים,water,5
125,סיר,pot,5
126,"סכו""ם",amount,5
127,צלחות,Plates,5
128,קבנוס,Kabanus,5
129,"שולחן מתקפל","folding table",5
130,"שימורים ","Canned food",5
131,שמן,oil,5
132,"שקיות זבל + שקיות ניילון","Garbage bags + plastic bags",5
133,"תבשילים לבישול מהיר ","Quick-cooking dishes",5
134,"סנדוויצ'ים ליום הראשון","Sandwiches for the first day",5
135,"מלח, פלפל ותבלינים","Salt, pepper and spices",5
136,"סבון כלים + סקוטצ'","Soap Dish",5
137,"שק שינה","Sleeping Bag",6
138,"שמיכה נוספת","Another blanket",6
139,"קופסא למברשת שיניים","A toothbrush box",6
140,פינג'אן ,Finjan,6
141,ערסל,hammock,6
143,משקפת,binoculars,6
144,מצפן,compass,6
145,"מקל לטיולים ","Stick for trips",6
146,"מנעולים לתיקים","Locks for bags",6
147,מחצלת ,mat,6
148,"מזרון מתנפח זוגי/יחיד","Inflatable double / single mattress",6
149,"מגבת קטנה ","A small towel",6
150,לדרמן ,Lederman,6
151,"כרית קטנה","A small pillow",6
152,"כילה נגד יתושים ","Mosquito net",6
153,"כיסא מתקפל","folding chair",6
154,"אוהל יתדות ומוטות","tent Pegs and rods",6
155,חבלים,Ropes,6
156,"גזיה ","Gasier ",6
157,אולר ,Switchblade,6
158,"אטמי אוזניים ",Earplugs,7
159,ארנק,Purse,7
160,"כיסוי עיניים לשינה ","Eyecover for sleep",7
161,"כלי כתיבה ","Writing Tools",7
162,"כסף מזומן ",Cash,7
163,"כרית שינה קטנה למטוס","A small sleeping pad for the plane",7
164,"מגבות לרחצה ולים","Towels for bathing and sea",7
165,"מחברת קטנה ועט","Small notebook and pen",7
166,"מצית וגפרורים","Lighter and matches",7
167,ספר ,Book,7
168,"ערכת תפירה","Sewing kit",7
169,פטיש,hammer,7
170,"ציוד דייג","Fishing Equipment",7
171,ציליה,Tzilla,7
172,קלפים,Cards,7
173,"שמשיה לים","Sunshade to the sea",7
174,"שק כביסה","Laundry bag",7
175,"מזון לתינוק","Baby food",5
176,"בקבוק לתינוק","Baby bottle",5
177,"שמיכה לתינוק","Baby blanket",7
178,תפילין,tefillin,7
179,"טיטולים לתינוק","Baby diapers",3
180,"תיק לטיול יומי","Dayli Bag",6
181,"תרופות קבועות","Dayli Pills",2
182,"ציוד סקי","Ski Equipment",7
183,"עגלת תינוק","Baby carriage",7
